id,customer_id,product_id,quantity,order_date,status,total
1,184,7,3,2025-06-02,pending,1625.97
2,142,48,3,2025-06-03,processing,1817.97
3,23,32,2,2025-06-04,cancelled,1865.98
4,33,44,2,2025-06-05,cancelled,67.98
5,126,10,4,2025-06-06,cancelled,743.96
6,161,50,3,2025-06-07,pending,1733.97
7,72,17,8,2025-06-08,processing,4399.92
8,24,8,2,2025-06-09,processing,1091.98
9,136,17,2,2025-06-10,cancelled,1393.98
10,66,19,4,2025-06-11,cancelled,3003.96
11,98,49,8,2025-06-12,pending,855.92
12,1,34,3,2025-06-13,pending,2276.97
13,186,3,5,2025-06-14,pending,1909.95
14,185,39,6,2025-06-15,completed,821.94
15,182,2,6,2025-06-16,processing,3839.94
16,74,28,3,2025-06-17,processing,491.97
17,155,47,3,2025-06-18,cancelled,2504.97
18,74,15,4,2025-06-19,processing,679.96
19,117,33,4,2025-06-20,completed,2031.96
20,74,1,4,2025-06-21,cancelled,639.96
21,61,45,3,2025-06-22,completed,668.97
22,152,42,2,2025-06-23,cancelled,1167.98
23,142,46,5,2025-06-24,completed,2299.95
24,28,42,1,2025-06-25,pending,893.99
25,92,21,2,2025-06-26,pending,441.98
26,9,13,5,2025-06-27,completed,639.95
27,34,23,3,2025-06-28,completed,1535.97
28,71,35,4,2025-06-29,processing,3279.96
29,132,13,3,2025-06-30,processing,2537.97
30,133,22,4,2025-07-01,cancelled,1767.96
31,165,15,5,2025-07-02,cancelled,2599.95
32,18,46,4,2025-07-03,processing,2155.96
33,99,28,4,2025-07-04,pending,2055.96
34,102,25,6,2025-07-05,cancelled,5501.94
35,138,18,4,2025-07-06,processing,3255.96
36,106,9,8,2025-07-07,cancelled,6215.92
37,124,50,8,2025-07-08,cancelled,2031.92
38,157,10,5,2025-07-09,pending,1789.95
39,86,26,5,2025-07-10,completed,1814.95
40,92,26,4,2025-07-11,completed,139.96
41,13,5,5,2025-07-12,cancelled,2729.95
42,185,29,2,2025-07-13,processing,181.98
43,148,25,8,2025-07-14,completed,2095.92
44,27,39,6,2025-07-15,completed,2075.94
45,53,4,1,2025-07-16,cancelled,928.99
