id,customer_id,subject,description,priority,status,created_at
1,28,Billing question #001,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,resolved,2026-01-02T09:00:00
2,155,Product setup #002,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-03T09:00:00
3,132,Billing question #003,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,resolved,2026-01-04T09:00:00
4,198,Performance review #004,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,closed,2026-01-05T09:00:00
5,159,Product setup #005,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,resolved,2026-01-06T09:00:00
6,140,Performance review #006,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,in_progress,2026-01-07T09:00:00
7,200,Product setup #007,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-08T09:00:00
8,93,Product setup #008,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-09T09:00:00
9,10,Product setup #009,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,in_progress,2026-01-10T09:00:00
10,181,Login assistance #010,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,resolved,2026-01-11T09:00:00
11,161,Billing question #011,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,open,2026-01-12T09:00:00
12,117,Login assistance #012,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,open,2026-01-13T09:00:00
13,79,Billing question #013,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-14T09:00:00
14,94,Product setup #014,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,resolved,2026-01-15T09:00:00
15,44,Billing question #015,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,resolved,2026-01-16T09:00:00
16,123,Login assistance #016,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,open,2026-01-17T09:00:00
17,110,Product setup #017,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,closed,2026-01-18T09:00:00
18,119,Login assistance #018,"Ticket ficticio para demostrar Issues, soporte y revisiones.",high,open,2026-01-19T09:00:00
19,144,Performance review #019,"Ticket ficticio para demostrar Issues, soporte y revisiones.",low,closed,2026-01-20T09:00:00
20,150,Billing question #020,"Ticket ficticio para demostrar Issues, soporte y revisiones.",critical,open,2026-01-21T09:00:00
21,160,Billing question #021,"Ticket ficticio para demostrar Issues, soporte y revisiones.",medium,closed,2026-01-22T09:00:00
